url,url_length,count_digits,count_special,has_ip,num_subdomains,is_https,url_entropy,contains_suspicious_word,domain_length,domain_age_days,tld,label,url_type
https://13baj.net/F2AB8zO=GGugYv,32,4,6,0,0,1,4.6403,0.0,9.0,476.0,net,0,Legitimate
http://b4switqrnjoq.xyz/3,25,2,5,0,0,0,4.1835,0.0,16.0,54.0,xyz,0,Legitimate
http://edgs6faxc6y.org/PPi,26,2,5,0,0,0,4.2099,0.0,15.0,39.0,org,0,Legitimate
http://secure.7z55hpqlogin.com/cJ&ZSE_ITl?nOD5A33uthUOU=_FXNKBk,63,6,11,0,1,0,5.2507,1.0,23.0,25.0,com,1,Phishing
https://188.181.168.193/f,25,12,7,1,2,1,3.3991,0.0,15.0,276.0,193,1,Phishing
https://ohaz7t0uum3.info/NsCheu%3?84N,37,6,7,0,0,1,,0.0,16.0,385.0,info,0,Legitimate
http://mxswy.biz/sv=Lhfe9,25,1,6,0,0,0,,0.0,9.0,120.0,biz,0,Legitimate
http://9qq41za.com/efu,22,3,5,0,0,0,4.0615,0.0,11.0,471.0,com,0,Legitimate
https://0kzb1kb3.com/r8ft=B9mnz&b%V78M14-uJH,44,9,9,0,0,1,4.908,0.0,12.0,20.0,com,0,Legitimate
https://anc1d3.info/9F&sMMvNzo2Xz7w&e,37,5,7,0,0,1,4.7026,0.0,11.0,155.0,info,0,Legitimate
http://login.sg4fk9dje3.xyz/aUFOu3wz&fB-fMhAimVbW3o91L40?N,58,9,9,0,1,0,5.3017,1.0,20.0,707.0,xyz,0,Legitimate
http://ojgfhz52qzs.biz/ipKuS%tj8d=&oiSR=w%8sj9u=RayYtrbT7/O,59,6,12,0,0,0,4.9501,0.0,15.0,133.0,biz,1,Phishing
https://ttt1vdy3v8.io/ReWOv4TuurwqOcfzuk86KI,44,6,5,0,0,1,4.7805,0.0,13.0,34.0,io,1,Phishing
http://caal8vhf48uz.com/WPf?p4fnNljM/1sT%5GU/GzMAXraB,53,6,9,0,0,0,4.9521,0.0,16.0,13.0,com,0,Legitimate
https://login.by7q99.biz/r5nSTStFU419pT8MYobw0rERwcT/T=&h9lVo7rvsc/-%9y7,72,13,12,0,1,1,5.1006,1.0,16.0,34.0,biz,1,Phishing
